"person","item","poly","dich","description","anger","male","do","other","scold","shout"
1,1,0,0,"do bus curse",20,1,0,1,0,0
1,2,0,0,"do bus scold",20,1,0,1,1,0
1,3,0,0,"do bus shout",20,1,0,1,0,1
1,4,0,0,"do train curse",20,1,0,1,0,0
1,5,0,0,"do train scold",20,1,0,1,1,0
1,6,0,0,"do train shout",20,1,0,1,0,1
1,7,0,0,"do store curse",20,1,0,0,0,0
1,8,0,0,"do store scold",20,1,0,0,1,0
1,9,1,1,"do store shout",20,1,0,0,0,1
1,10,2,1,"do operator curse",20,1,0,0,0,0
1,11,0,0,"do operator scold",20,1,0,0,1,0
1,12,0,0,"do operator shout",20,1,0,0,0,1
1,13,1,1,"want bus curse",20,1,1,1,0,0
1,14,0,0,"want bus scold",20,1,1,1,1,0
1,15,1,1,"want bus shout",20,1,1,1,0,1
1,16,1,1,"want train curse",20,1,1,1,0,0
1,17,0,0,"want train scold",20,1,1,1,1,0
1,18,0,0,"want train shout",20,1,1,1,0,1
1,19,1,1,"want store curse",20,1,1,0,0,0
1,20,0,0,"want store scold",20,1,1,0,1,0
1,21,0,0,"want store shout",20,1,1,0,0,1
1,22,2,1,"want operator curse",20,1,1,0,0,0
1,23,2,1,"want operator scold",20,1,1,0,1,0
1,24,2,1,"want operator shout",20,1,1,0,0,1
2,1,0,0,"do bus curse",11,1,0,1,0,0
2,2,0,0,"do bus scold",11,1,0,1,1,0
2,3,0,0,"do bus shout",11,1,0,1,0,1
2,4,0,0,"do train curse",11,1,0,1,0,0
2,5,0,0,"do train scold",11,1,0,1,1,0
2,6,0,0,"do train shout",11,1,0,1,0,1
2,7,0,0,"do store curse",11,1,0,0,0,0
2,8,0,0,"do store scold",11,1,0,0,1,0
2,9,0,0,"do store shout",11,1,0,0,0,1
2,10,0,0,"do operator curse",11,1,0,0,0,0
2,11,0,0,"do operator scold",11,1,0,0,1,0
2,12,0,0,"do operator shout",11,1,0,0,0,1
2,13,0,0,"want bus curse",11,1,1,1,0,0
2,14,0,0,"want bus scold",11,1,1,1,1,0
2,15,0,0,"want bus shout",11,1,1,1,0,1
2,16,0,0,"want train curse",11,1,1,1,0,0
2,17,0,0,"want train scold",11,1,1,1,1,0
2,18,0,0,"want train shout",11,1,1,1,0,1
2,19,1,1,"want store curse",11,1,1,0,0,0
2,20,0,0,"want store scold",11,1,1,0,1,0
2,21,0,0,"want store shout",11,1,1,0,0,1
2,22,0,0,"want operator curse",11,1,1,0,0,0
2,23,0,0,"want operator scold",11,1,1,0,1,0
2,24,0,0,"want operator shout",11,1,1,0,0,1
3,1,1,1,"do bus curse",17,0,0,1,0,0
3,2,1,1,"do bus scold",17,0,0,1,1,0
3,3,1,1,"do bus shout",17,0,0,1,0,1
3,4,1,1,"do train curse",17,0,0,1,0,0
3,5,0,0,"do train scold",17,0,0,1,1,0
3,6,1,1,"do train shout",17,0,0,1,0,1
3,7,1,1,"do store curse",17,0,0,0,0,0
3,8,0,0,"do store scold",17,0,0,0,1,0
3,9,0,0,"do store shout",17,0,0,0,0,1
3,10,0,0,"do operator curse",17,0,0,0,0,0
3,11,0,0,"do operator scold",17,0,0,0,1,0
3,12,0,0,"do operator shout",17,0,0,0,0,1
3,13,0,0,"want bus curse",17,0,1,1,0,0
3,14,1,1,"want bus scold",17,0,1,1,1,0
3,15,1,1,"want bus shout",17,0,1,1,0,1
3,16,0,0,"want train curse",17,0,1,1,0,0
3,17,0,0,"want train scold",17,0,1,1,1,0
3,18,1,1,"want train shout",17,0,1,1,0,1
3,19,0,0,"want store curse",17,0,1,0,0,0
3,20,0,0,"want store scold",17,0,1,0,1,0
3,21,0,0,"want store shout",17,0,1,0,0,1
3,22,1,1,"want operator curse",17,0,1,0,0,0
3,23,0,0,"want operator scold",17,0,1,0,1,0
3,24,0,0,"want operator shout",17,0,1,0,0,1
4,1,1,1,"do bus curse",21,0,0,1,0,0
4,2,1,1,"do bus scold",21,0,0,1,1,0
4,3,1,1,"do bus shout",21,0,0,1,0,1
4,4,1,1,"do train curse",21,0,0,1,0,0
4,5,1,1,"do train scold",21,0,0,1,1,0
4,6,1,1,"do train shout",21,0,0,1,0,1
4,7,1,1,"do store curse",21,0,0,0,0,0
4,8,0,0,"do store scold",21,0,0,0,1,0
4,9,0,0,"do store shout",21,0,0,0,0,1
4,10,0,0,"do operator curse",21,0,0,0,0,0
4,11,0,0,"do operator scold",21,0,0,0,1,0
4,12,0,0,"do operator shout",21,0,0,0,0,1
4,13,1,1,"want bus curse",21,0,1,1,0,0
4,14,1,1,"want bus scold",21,0,1,1,1,0
4,15,1,1,"want bus shout",21,0,1,1,0,1
4,16,2,1,"want train curse",21,0,1,1,0,0
4,17,1,1,"want train scold",21,0,1,1,1,0
4,18,1,1,"want train shout",21,0,1,1,0,1
4,19,1,1,"want store curse",21,0,1,0,0,0
4,20,0,0,"want store scold",21,0,1,0,1,0
4,21,0,0,"want store shout",21,0,1,0,0,1
4,22,0,0,"want operator curse",21,0,1,0,0,0
4,23,0,0,"want operator scold",21,0,1,0,1,0
4,24,0,0,"want operator shout",21,0,1,0,0,1
5,1,1,1,"do bus curse",17,0,0,1,0,0
5,2,0,0,"do bus scold",17,0,0,1,1,0
5,3,1,1,"do bus shout",17,0,0,1,0,1
5,4,1,1,"do train curse",17,0,0,1,0,0
5,5,0,0,"do train scold",17,0,0,1,1,0
5,6,0,0,"do train shout",17,0,0,1,0,1
5,7,1,1,"do store curse",17,0,0,0,0,0
5,8,0,0,"do store scold",17,0,0,0,1,0
5,9,0,0,"do store shout",17,0,0,0,0,1
5,10,1,1,"do operator curse",17,0,0,0,0,0
5,11,0,0,"do operator scold",17,0,0,0,1,0
5,12,0,0,"do operator shout",17,0,0,0,0,1
5,13,1,1,"want bus curse",17,0,1,1,0,0
5,14,1,1,"want bus scold",17,0,1,1,1,0
5,15,0,0,"want bus shout",17,0,1,1,0,1
5,16,1,1,"want train curse",17,0,1,1,0,0
5,17,0,0,"want train scold",17,0,1,1,1,0
5,18,0,0,"want train shout",17,0,1,1,0,1
5,19,1,1,"want store curse",17,0,1,0,0,0
5,20,0,0,"want store scold",17,0,1,0,1,0
5,21,0,0,"want store shout",17,0,1,0,0,1
5,22,1,1,"want operator curse",17,0,1,0,0,0
5,23,0,0,"want operator scold",17,0,1,0,1,0
5,24,0,0,"want operator shout",17,0,1,0,0,1
6,1,2,1,"do bus curse",21,0,0,1,0,0
6,2,2,1,"do bus scold",21,0,0,1,1,0
6,3,0,0,"do bus shout",21,0,0,1,0,1
6,4,2,1,"do train curse",21,0,0,1,0,0
6,5,0,0,"do train scold",21,0,0,1,1,0
6,6,0,0,"do train shout",21,0,0,1,0,1
6,7,1,1,"do store curse",21,0,0,0,0,0
6,8,1,1,"do store scold",21,0,0,0,1,0
6,9,1,1,"do store shout",21,0,0,0,0,1
6,10,0,0,"do operator curse",21,0,0,0,0,0
6,11,0,0,"do operator scold",21,0,0,0,1,0
6,12,0,0,"do operator shout",21,0,0,0,0,1
6,13,2,1,"want bus curse",21,0,1,1,0,0
6,14,0,0,"want bus scold",21,0,1,1,1,0
6,15,0,0,"want bus shout",21,0,1,1,0,1
6,16,2,1,"want train curse",21,0,1,1,0,0
6,17,0,0,"want train scold",21,0,1,1,1,0
6,18,0,0,"want train shout",21,0,1,1,0,1
6,19,2,1,"want store curse",21,0,1,0,0,0
6,20,0,0,"want store scold",21,0,1,0,1,0
6,21,0,0,"want store shout",21,0,1,0,0,1
6,22,2,1,"want operator curse",21,0,1,0,0,0
6,23,2,1,"want operator scold",21,0,1,0,1,0
6,24,0,0,"want operator shout",21,0,1,0,0,1
7,1,2,1,"do bus curse",39,0,0,1,0,0
7,2,2,1,"do bus scold",39,0,0,1,1,0
7,3,2,1,"do bus shout",39,0,0,1,0,1
7,4,1,1,"do train curse",39,0,0,1,0,0
7,5,1,1,"do train scold",39,0,0,1,1,0
7,6,2,1,"do train shout",39,0,0,1,0,1
7,7,1,1,"do store curse",39,0,0,0,0,0
7,8,0,0,"do store scold",39,0,0,0,1,0
7,9,1,1,"do store shout",39,0,0,0,0,1
7,10,0,0,"do operator curse",39,0,0,0,0,0
7,11,0,0,"do operator scold",39,0,0,0,1,0
7,12,0,0,"do operator shout",39,0,0,0,0,1
7,13,2,1,"want bus curse",39,0,1,1,0,0
7,14,2,1,"want bus scold",39,0,1,1,1,0
7,15,2,1,"want bus shout",39,0,1,1,0,1
7,16,1,1,"want train curse",39,0,1,1,0,0
7,17,1,1,"want train scold",39,0,1,1,1,0
7,18,2,1,"want train shout",39,0,1,1,0,1
7,19,0,0,"want store curse",39,0,1,0,0,0
7,20,0,0,"want store scold",39,0,1,0,1,0
7,21,0,0,"want store shout",39,0,1,0,0,1
7,22,0,0,"want operator curse",39,0,1,0,0,0
7,23,0,0,"want operator scold",39,0,1,0,1,0
7,24,0,0,"want operator shout",39,0,1,0,0,1
8,1,0,0,"do bus curse",21,0,0,1,0,0
8,2,0,0,"do bus scold",21,0,0,1,1,0
8,3,0,0,"do bus shout",21,0,0,1,0,1
8,4,0,0,"do train curse",21,0,0,1,0,0
